99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
60,50,0
70,55,0
99,70,1
110,80,1
150,110,2
